{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	7	lctrl	0.4639098644											
12345	SNARC_only	DC	3	lctrl	0.5417201519											
12345	SNARC_only	DC	3	lctrl	0.4211339951											
12345	SNARC_only	DC	1	lctrl	0.5458579063											
12345	SNARC_only	DC	8	num_separator	0.5411939621											
12345	SNARC_only	DC	5	lctrl	0.5752630234											
12345	SNARC_only	DC	8	num_separator	0.6112639904											
12345	SNARC_only	DC	6	num_separator	0.5747790337											
12345	SNARC_only	DC	1	lctrl	0.4561879635											
12345	SNARC_only	DC	6	num_separator	0.7390890121											
12345	SNARC_only	DC	9	lctrl	0.89427495											
12345	SNARC_only	DC	7	lctrl	0.6527760029											
12345	SNARC_only	DC	1	lctrl	0.5808899403											
12345	SNARC_only	DC	8	num_separator	0.5408799648											
12345	SNARC_only	DC	2	num_separator	0.6909248829											
12345	SNARC_only	DC	6	num_separator	0.6611440182											
12345	SNARC_only	DC	3	lctrl	0.5775129795											
12345	SNARC_only	DC	4	num_separator	0.4215750694											
12345	SNARC_only	DC	1	lctrl	0.7396731377											
12345	SNARC_only	DC	6	num_separator	0.4308509827											
12345	SNARC_only	DC	2	num_separator	0.5694630146											
12345	SNARC_only	DC	9	lctrl	0.5799078941											
12345	SNARC_only	DC	1	lctrl	0.5787689686											
12345	SNARC_only	DC	8	num_separator	0.577422142											
12345	SNARC_only	DC	3	lctrl	0.5243809223											
12345	SNARC_only	DC	7	lctrl	0.6592760086											
12345	SNARC_only	DC	5	lctrl	0.7688920498											
12345	SNARC_only	DC	6	num_separator	0.7340741158											
12345	SNARC_only	DC	8	num_separator	0.4638957977											
12345	SNARC_only	DC	5	lctrl	1.0443239212											
12345	SNARC_only	DC	5	lctrl	0.3134710789											
12345	SNARC_only	DC	3	lctrl	0.4667081833											
12345	SNARC_only	DC	6	num_separator	0.8151040077											
12345	SNARC_only	DC	8	num_separator	0.3851737976											
12345	SNARC_only	DC	3	lctrl	0.6180078983											
12345	SNARC_only	DC	6	num_separator	0.465430975											
12345	SNARC_only	DC	6	num_separator	0.4271440506											
12345	SNARC_only	DC	5	lctrl	0.6816949844											
12345	SNARC_only	DC	4	num_separator	0.4973409176											
12345	SNARC_only	DC	7	lctrl	0.7330260277											
12345	SNARC_only	DC	7	lctrl	0.3854949474											
12345	SNARC_only	DC	6	num_separator	0.4682018757											
12345	SNARC_only	DC	8	num_separator	0.4685981274											
12345	SNARC_only	DC	8	num_separator	0.5076870918											
12345	SNARC_only	DC	7	lctrl	0.6929969788											
12345	SNARC_only	DC	5	lctrl	0.5471708775											
12345	SNARC_only	DC	2	num_separator	0.465154171											
12345	SNARC_only	DC	5	lctrl	0.4996600151											
12345	SNARC_only	DC	3	lctrl	0.7353680134											
12345	SNARC_only	DC	4	num_separator	0.5811591148											
12345	SNARC_only	DC	7	lctrl	0.6958899498											
12345	SNARC_only	DC	8	num_separator	0.4996750355											
12345	SNARC_only	DC	6	num_separator	0.851418972											
12345	SNARC_only	DC	7	lctrl	0.5796639919											
12345	SNARC_only	DC	7	lctrl	0.5010309219											
12345	SNARC_only	DC	5	num_separator	0.4661548138											
