{'participant':	u'jonasn'		'response_buttons':	u'CD'		'range_in_instr':	True		'dateStr':	u'05_09_1331'		'autopilot':	False		'exp_id':	u'SNARC'}
jonasn	SNARC_only	CD	5	num_separator	0.5791900158											
jonasn	SNARC_only	CD	7	num_separator	0.4874110222											
jonasn	SNARC_only	CD	2	lctrl	0.4640870094											
jonasn	SNARC_only	CD	2	lctrl	0.3870260715											
jonasn	SNARC_only	CD	2	lctrl	0.3922710419											
jonasn	SNARC_only	CD	7	lctrl	0.381141901											
jonasn	SNARC_only	CD	3	num_separator	0.8242270947											
jonasn	SNARC_only	CD	7	num_separator	0.4211649895											
jonasn	SNARC_only	CD	2	lctrl	0.4683759212											
jonasn	SNARC_only	CD	9	num_separator	0.4686989784											
jonasn	SNARC_only	CD	3	num_separator	0.5848619938											
jonasn	SNARC_only	CD	7	num_separator	0.570472002											
jonasn	SNARC_only	CD	2	lctrl	0.6967978477											
jonasn	SNARC_only	CD	5	num_separator	0.8097679615											
jonasn	SNARC_only	CD	4	lctrl	0.6235229969											
jonasn	SNARC_only	CD	6	lctrl	0.6910300255											
jonasn	SNARC_only	CD	9	num_separator	0.5065078735											
jonasn	SNARC_only	CD	6	lctrl	0.4596049786											
jonasn	SNARC_only	CD	5	num_separator	0.4598429203											
jonasn	SNARC_only	CD	9	lctrl	0.3828167915											
jonasn	SNARC_only	CD	5	num_separator	0.4654021263											
jonasn	SNARC_only	CD	7	num_separator	0.5043489933											
jonasn	SNARC_only	CD	2	lctrl	0.5080161095											
jonasn	SNARC_only	CD	4	lctrl	0.6545569897											
jonasn	SNARC_only	CD	1	num_separator	0.4278159142											
jonasn	SNARC_only	CD	9	lctrl	0.4976491928											
jonasn	SNARC_only	CD	5	num_separator	0.617112875											
jonasn	SNARC_only	CD	9	lctrl	0.4643609524											
jonasn	SNARC_only	CD	1	num_separator	0.5675730705											
jonasn	SNARC_only	CD	4	lctrl	0.4619119167											
jonasn	SNARC_only	CD	3	num_separator	0.4962160587											
jonasn	SNARC_only	CD	8	lctrl	0.5772099495											
{'participant':	u'jonasn'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1341'		'autopilot':	False		'exp_id':	u'SNARC'}
jonasn	SNARC_only	DC	4	num_separator	0.8128259182											
jonasn	SNARC_only	DC	5	lctrl	1.5382888317											
jonasn	SNARC_only	DC	7	lctrl	0.3905580044											
jonasn	SNARC_only	DC	9	lctrl	0.4226980209											
jonasn	SNARC_only	DC	1	lctrl	0.3422830105											
jonasn	SNARC_only	DC	8	num_separator	0.4989819527											
jonasn	SNARC_only	DC	5	lctrl	1.4304921627											
jonasn	SNARC_only	DC	2	num_separator	0.4660449028											
jonasn	SNARC_only	DC	2	num_separator	0.5822808743											
jonasn	SNARC_only	DC	8	num_separator	0.3876030445											
jonasn	SNARC_only	DC	9	lctrl	0.4585189819											
jonasn	SNARC_only	DC	3	lctrl	0.4154980183											
jonasn	SNARC_only	DC	9	num_separator	0.4242191315											
jonasn	SNARC_only	DC	6	num_separator	0.9493329525											
jonasn	SNARC_only	DC	9	lctrl	0.5058410168											
jonasn	SNARC_only	DC	3	lctrl	0.4976680279											
jonasn	SNARC_only	DC	3	lctrl	0.4580409527											
jonasn	SNARC_only	DC	3	lctrl	0.4583280087											
jonasn	SNARC_only	DC	9	num_separator	0.4199051857											
jonasn	SNARC_only	DC	9	lctrl	0.5058817863											
jonasn	SNARC_only	DC	2	num_separator	0.6865870953											
jonasn	SNARC_only	DC	4	num_separator	0.4501750469											
jonasn	SNARC_only	DC	7	lctrl	0.4235289097											
jonasn	SNARC_only	DC	3	lctrl	0.6910159588											
jonasn	SNARC_only	DC	9	lctrl	0.5838341713											
jonasn	SNARC_only	DC	9	lctrl	0.7325088978											
jonasn	SNARC_only	DC	4	num_separator	0.8875889778											
jonasn	SNARC_only	DC	5	lctrl	0.3869180679											
jonasn	SNARC_only	DC	8	num_separator	0.4696450233											
jonasn	SNARC_only	DC	2	num_separator	1.5795609951											
jonasn	SNARC_only	DC	8	num_separator	0.3847141266											
jonasn	SNARC_only	DC	8	num_separator	0.3513448238											
jonasn	SNARC_only	DC	1	lctrl	0.353315115											
jonasn	SNARC_only	DC	5	lctrl	0.7687830925											
jonasn	SNARC_only	DC	1	lctrl	0.4632279873											
jonasn	SNARC_only	DC	2	num_separator	0.4634699821											
jonasn	SNARC_only	DC	3	lctrl	0.6956861019											
jonasn	SNARC_only	DC	4	num_separator	0.4607191086											
jonasn	SNARC_only	DC	4	num_separator	0.4997310638											
jonasn	SNARC_only	DC	7	lctrl	1.4181690216											
jonasn	SNARC_only	DC	9	lctrl	0.4659850597											
jonasn	SNARC_only	DC	5	lctrl	0.4275290966											
jonasn	SNARC_only	DC	9	lctrl	0.4245071411											
jonasn	SNARC_only	DC	8	num_separator	0.4600408077											
jonasn	SNARC_only	DC	6	num_separator	0.5376741886											
jonasn	SNARC_only	DC	5	lctrl	0.4287059307											
jonasn	SNARC_only	DC	9	lctrl	0.6542458534											
jonasn	SNARC_only	DC	4	num_separator	0.4663798809											
jonasn	SNARC_only	DC	1	lctrl	0.3892118931											
jonasn	SNARC_only	DC	1	lctrl	0.3827500343											
jonasn	SNARC_only	DC	6	num_separator	0.5426678658											
jonasn	SNARC_only	DC	8	num_separator	0.4218728542											
jonasn	SNARC_only	DC	7	num_separator	0.507889986											
jonasn	SNARC_only	DC	7	lctrl	0.3838279247											
jonasn	SNARC_only	DC	1	lctrl	0.5004069805											
jonasn	SNARC_only	DC	6	num_separator	0.6587541103											
jonasn	SNARC_only	DC	2	num_separator	0.6524281502											
jonasn	SNARC_only	DC	2	num_separator	0.464359045											
jonasn	SNARC_only	DC	3	lctrl	0.4260401726											
jonasn	SNARC_only	DC	4	num_separator	0.4615838528											
jonasn	SNARC_only	DC	6	num_separator	0.3714499474											
jonasn	SNARC_only	DC	5	lctrl	0.504529953											
jonasn	SNARC_only	DC	1	lctrl	0.3921229839											
jonasn	SNARC_only	DC	1	lctrl	0.3857250214											
jonasn	SNARC_only	DC	8	num_separator	0.3909449577											
jonasn	SNARC_only	DC	6	num_separator	0.4232780933											
jonasn	SNARC_only	DC	3	lctrl	0.4201071262											
jonasn	SNARC_only	DC	6	num_separator	0.4288229942											
