{'task':	'line'		'participant':	''		'dateStr':	'06_01_1214'		'notation':	'arabic'		'response_buttons':	'CD'		'range_in_instr':	True		'interactive_setting':	False		'autopilot':	False		'exp_id':	'SNARC'}
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.7814420424																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.5291470481																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.377388757																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.7204332115																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4355584065																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4398631513																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4078204718																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.3506801805																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.3889712831																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5567545492																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.445921697																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.412049522																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.5449808625																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.3663972459																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.4736288408																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.51350696																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	1.1996057049																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5808022751																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5470806338																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.6791369983																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4781576754																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4597352834																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.7188496162																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.3876400026																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4836645498																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4376145572																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	1.0316137447																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	1.6119785319																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4744700323																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.5051784378																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.402816516																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3927474502																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.5965719417																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4484123421																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.5687394958																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4762687365																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.5793042101																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4870117818																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5594153997																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	1.0320289948																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.4567083627																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4172288153																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.3715987769																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4546261253																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.5022049736																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3339983321																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3959881968																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.381785447																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4791874612																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4947993243																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4467013065																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3254059487																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3125515855																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.3889332222																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.6986148353																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3883156927																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.5030628435																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.6902572326																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.6325990548																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4394620138																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.6678944555																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3237363953																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.7129865076																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3733299122																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3265165609																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3193790492																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.3954831399																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.3828973421																		
zsuzsi	SNARC	arabic	CD	up	2	num_decimal	0.3172343747																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.6615446788																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3366429319																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.4563316013																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3926854406																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4304800393																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.5042401693																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.5530070349																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.3495930892																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4008253684																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.395942438																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4715029829																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4235815853																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3936463746																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.5534432399																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.5233651934																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.5997673573																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.5164368037																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.495974512																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.6031800201																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4323946373																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.519202429																		
